"participant_ID","target_y","validity","trial","phase","response","rt"
"P148",10,"catch",0,"exhale","correct",NA
"P148",10,"catch",1,"exhale","correct",NA
"P148",0.31,"invalid",2,"exhale","correct",0.321879800001625
"P148",0.31,"invalid",3,"exhale","correct",0.330474400005187
"P148",-0.31,"valid",4,"exhale","correct",0.464332700008526
"P148",-0.31,"invalid",5,"exhale","correct",0.322435599999153
"P148",0.31,"valid",6,"exhale","correct",0.309768399994937
"P148",-0.31,"invalid",7,"exhale","correct",0.370558700000402
"P148",-0.31,"valid",8,"exhale","correct",0.379557499996736
"P148",-0.31,"invalid",9,"exhale","correct",0.371108799998183
"P148",0.31,"invalid",10,"exhale","correct",0.338787000000593
"P148",-0.31,"invalid",11,"exhale","correct",0.415610299998662
"P148",0.31,"valid",12,"exhale","correct",0.377263999995193
"P148",10,"catch",13,"exhale","correct",NA
"P148",-0.31,"invalid",14,"exhale","correct",0.497432600008324
"P148",-0.31,"valid",15,"exhale","correct",0.377640600010636
"P148",10,"catch",16,"exhale","correct",NA
"P148",10,"catch",17,"exhale","correct",NA
"P148",0.31,"invalid",18,"exhale","correct",0.391412299999502
"P148",10,"catch",19,"exhale","correct",NA
"P148",0.31,"invalid",20,"exhale","correct",0.344798300007824
"P148",-0.31,"valid",21,"exhale","correct",0.477632199996151
"P148",0.31,"valid",22,"exhale","correct",0.364277899992885
"P148",-0.31,"invalid",23,"exhale","correct",0.350034399991273
"P148",0.31,"valid",24,"exhale","correct",0.308487299989793
"P148",-0.31,"invalid",25,"exhale","correct",0.366193599998951
"P148",-0.31,"valid",26,"exhale","correct",0.37448550001136
"P148",0.31,"valid",27,"exhale","correct",0.368259199996828
"P148",10,"catch",28,"exhale","correct",NA
"P148",0.31,"valid",29,"exhale","correct",0.265585800007102
"P148",0.31,"valid",30,"exhale","correct",0.458848200010834
"P148",-0.31,"valid",31,"exhale","correct",0.439562200001092
"P148",0.31,"valid",32,"exhale","correct",0.315184199993382
"P148",-0.31,"invalid",33,"exhale","correct",0.260671700001694
"P148",10,"catch",34,"exhale","correct",NA
"P148",0.31,"valid",35,"exhale","correct",0.468307999995886
"P148",-0.31,"invalid",36,"exhale","correct",0.426061899997876
"P148",0.31,"invalid",37,"exhale","correct",0.41825789998984
"P148",0.31,"invalid",38,"exhale","correct",0.38378270000976
"P148",0.31,"valid",39,"exhale","correct",0.420491600001696
"P148",0.31,"invalid",40,"exhale","correct",0.359109900004114
"P148",10,"catch",41,"exhale","correct",NA
"P148",-0.31,"valid",42,"exhale","correct",0.331916199997067
"P148",10,"catch",43,"exhale","correct",NA
"P148",0.31,"invalid",44,"exhale","correct",0.314612000001944
"P148",0.31,"invalid",45,"exhale","correct",0.382010200002696
"P148",0.31,"valid",46,"exhale","correct",0.43672380001226
"P148",-0.31,"valid",47,"exhale","correct",0.377984000006109
"P148",-0.31,"invalid",48,"exhale","correct",0.468146100000013
"P148",10,"catch",49,"exhale","correct",NA
"P148",-0.31,"valid",50,"exhale","correct",0.396196699992288
"P148",-0.31,"valid",51,"exhale","correct",0.31543829999282
"P148",-0.31,"invalid",52,"exhale","correct",0.311086999994586
"P148",-0.31,"valid",53,"exhale","correct",0.374277499999152
"P148",10,"catch",54,"exhale","correct",NA
"P148",0.31,"invalid",55,"exhale","correct",0.372261700002127
"P148",-0.31,"valid",56,"exhale","correct",0.33543410000857
"P148",0.31,"valid",57,"exhale","correct",0.35560950000945
"P148",-0.31,"invalid",58,"exhale","correct",0.291829299996607
"P148",0.31,"invalid",59,"exhale","correct",0.388605100000859
"P148",10,"catch",0,"inhale","correct",NA
"P148",10,"catch",1,"inhale","correct",NA
"P148",0.31,"invalid",2,"inhale","correct",0.401221000007354
"P148",0.31,"invalid",3,"inhale","correct",0.675328500001342
"P148",-0.31,"valid",4,"inhale","correct",0.372714999990421
"P148",-0.31,"invalid",5,"inhale","correct",0.386600899990299
"P148",0.31,"valid",6,"inhale","correct",0.418126499993377
"P148",-0.31,"invalid",7,"inhale","correct",0.284872999996878
"P148",-0.31,"valid",8,"inhale","correct",0.306603299992275
"P148",-0.31,"invalid",9,"inhale","correct",0.282735099986894
"P148",0.31,"invalid",10,"inhale","correct",0.279312899991055
"P148",-0.31,"invalid",11,"inhale","correct",0.279992600000696
"P148",0.31,"valid",12,"inhale","correct",0.259404399999767
"P148",10,"catch",13,"inhale","correct",NA
"P148",-0.31,"invalid",14,"inhale","correct",0.470988999994006
"P148",-0.31,"valid",15,"inhale","correct",0.395145600006799
"P148",10,"catch",16,"inhale","correct",NA
"P148",10,"catch",17,"inhale","correct",NA
"P148",0.31,"invalid",18,"inhale","correct",0.311342099987087
"P148",10,"catch",19,"inhale","correct",NA
"P148",0.31,"invalid",20,"inhale","correct",0.380065100005595
"P148",-0.31,"valid",21,"inhale","correct",0.384396800000104
"P148",0.31,"valid",22,"inhale","correct",0.356172599989804
"P148",-0.31,"invalid",23,"inhale","correct",0.362074000004213
"P148",0.31,"valid",24,"inhale","correct",0.294153199996799
"P148",-0.31,"invalid",25,"inhale","correct",0.400508100006846
"P148",-0.31,"valid",26,"inhale","correct",0.365816000004997
"P148",0.31,"valid",27,"inhale","correct",0.481629200003226
"P148",10,"catch",28,"inhale","correct",NA
"P148",0.31,"valid",29,"inhale","correct",0.34785190000548
"P148",0.31,"valid",30,"inhale","correct",0.281463999999687
"P148",-0.31,"valid",31,"inhale","correct",0.352701399999205
"P148",0.31,"valid",32,"inhale","correct",0.384451999998419
"P148",-0.31,"invalid",33,"inhale","correct",0.355959100008477
"P148",10,"catch",34,"inhale","correct",NA
"P148",0.31,"valid",35,"inhale","correct",0.3875340000086
"P148",-0.31,"invalid",36,"inhale","correct",0.390156599998591
"P148",0.31,"invalid",37,"inhale","correct",0.478713200005586
"P148",0.31,"invalid",38,"inhale","correct",0.471452700003283
"P148",0.31,"valid",39,"inhale","correct",0.692002000010689
"P148",0.31,"invalid",40,"inhale","correct",0.47663580000517
"P148",10,"catch",41,"inhale","correct",NA
"P148",-0.31,"valid",42,"inhale","correct",0.334100399995805
"P148",10,"catch",43,"inhale","incorrect",0.40126529999543
"P148",0.31,"invalid",44,"inhale","correct",0.381839400011813
"P148",0.31,"invalid",45,"inhale","correct",0.350461299996823
"P148",0.31,"valid",46,"inhale","correct",0.343211400002474
"P148",-0.31,"valid",47,"inhale","correct",0.355941300003906
"P148",-0.31,"invalid",48,"inhale","correct",0.278638099989621
"P148",10,"catch",49,"inhale","incorrect",0.289172899996629
"P148",-0.31,"valid",50,"inhale","correct",0.231992900007754
"P148",-0.31,"valid",51,"inhale","correct",0.353221199999098
"P148",-0.31,"invalid",52,"inhale","correct",0.316995600005612
"P148",-0.31,"valid",53,"inhale","correct",0.279187399995863
"P148",10,"catch",54,"inhale","incorrect",0.318226899995352
"P148",0.31,"invalid",55,"inhale","correct",1.1863888999942
"P148",-0.31,"valid",56,"inhale","correct",0.387654999998631
"P148",0.31,"valid",57,"inhale","correct",0.349912799996673
"P148",-0.31,"invalid",58,"inhale","correct",0.329698799992912
"P148",0.31,"invalid",59,"inhale","correct",0.396772700012662
